# GOES17_ABI RSR
# QV 2025-06-04 from ABI-16-045_FM2_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# TIR bands
# GOES17_ABI Band CH390
# -------------------
3.81083 0.790528
3.810976 0.792532
3.811121 0.794524
3.811266 0.796493
3.811411 0.79845
3.811557 0.800397
3.811702 0.802332
3.811847 0.80425
3.811993 0.806148
3.812138 0.808019
3.812283 0.809864
3.812429 0.811694
3.812574 0.813517
3.812719 0.815344
3.812865 0.817184
3.81301 0.819037
3.813155 0.820911
3.813301 0.822797
3.813446 0.824691
3.813592 0.826587
3.813737 0.82848
3.813883 0.830366
3.814028 0.832238
3.814173 0.834108
3.814319 0.835977
3.814464 0.83784
3.81461 0.839696
3.814755 0.841545
3.814901 0.843386
3.815047 0.84521
3.815192 0.847021
3.815338 0.848822
3.815483 0.850613
3.815629 0.852398
3.815774 0.854175
3.81592 0.855941
3.816066 0.857692
3.816211 0.859437
3.816357 0.861176
3.816503 0.862907
3.816648 0.864631
3.816794 0.866345
3.81694 0.86805
3.817085 0.869739
3.817231 0.871363
3.817377 0.872956
3.817522 0.874525
3.817668 0.876077
3.817814 0.877617
3.81796 0.879133
3.818105 0.8806
3.818251 0.882031
3.818397 0.883447
3.818543 0.884862
3.818689 0.886265
3.818834 0.887666
3.81898 0.889078
3.819126 0.890502
3.819272 0.891928
3.819418 0.893359
3.819564 0.894798
3.81971 0.896249
3.819856 0.897714
3.820002 0.899197
3.820147 0.900706
3.820293 0.902249
3.820439 0.903824
3.820585 0.905426
3.820731 0.907043
3.820877 0.908667
3.821023 0.910287
3.821169 0.911923
3.821315 0.913584
3.821461 0.915258
3.821607 0.91694
3.821753 0.918623
3.821899 0.9203
3.822046 0.921964
3.822192 0.923632
3.822338 0.925304
3.822484 0.92697
3.82263 0.928621
3.822776 0.930249
3.822922 0.931845
3.823068 0.933402
3.823215 0.93493
3.823361 0.936415
3.823507 0.937837
3.823653 0.939187
3.823799 0.940484
3.823946 0.941751
3.824092 0.942999
3.824238 0.944211
3.824384 0.945391
3.824531 0.946527
3.824677 0.947639
3.824823 0.94872
3.824969 0.949759
3.825116 0.950752
3.825262 0.951706
3.825408 0.952632
3.825555 0.953539
3.825701 0.954438
3.825847 0.955338
3.825994 0.95625
3.82614 0.957166
3.826287 0.958074
