# GOES18_ABI RSR
# QV 2025-06-04 from ABI-16-046_FM3_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# VSWIR bands
# GOES18_ABI Band CH047
# -------------------
0.452776 0.59636
0.452796 0.596866
0.452817 0.597379
0.452837 0.597897
0.452858 0.598422
0.452878 0.598953
0.452899 0.59949
0.452919 0.600041
0.45294 0.600615
0.45296 0.601208
0.452981 0.601818
0.453001 0.602444
0.453022 0.603077
0.453042 0.603711
0.453063 0.604347
0.453083 0.604984
0.453104 0.605623
0.453124 0.606264
0.453145 0.606907
0.453165 0.607552
0.453186 0.6082
0.453206 0.60885
0.453227 0.609503
0.453248 0.610158
0.453268 0.610817
0.453289 0.611479
0.453309 0.612144
0.45333 0.612812
0.45335 0.613485
0.453371 0.614161
0.453391 0.614841
0.453412 0.615525
0.453432 0.616213
0.453453 0.616906
0.453474 0.617603
0.453494 0.618305
0.453515 0.619012
0.453535 0.619724
0.453556 0.620441
0.453576 0.621163
0.453597 0.621891
0.453618 0.622625
0.453638 0.623364
0.453659 0.62411
0.453679 0.624861
0.4537 0.625619
0.453721 0.626383
0.453741 0.627154
0.453762 0.627932
0.453782 0.628717
0.453803 0.629508
0.453823 0.630307
0.453844 0.631114
0.453865 0.631928
0.453885 0.632749
0.453906 0.633579
0.453926 0.634416
0.453947 0.635262
0.453968 0.636116
0.453988 0.636979
0.454009 0.637851
0.45403 0.638743
0.45405 0.639679
0.454071 0.640683
0.454091 0.641778
0.454112 0.642976
0.454133 0.64425
0.454153 0.64559
0.454174 0.646996
0.454194 0.648463
0.454215 0.649989
0.454236 0.651572
0.454256 0.653209
0.454277 0.654896
0.454298 0.656632
0.454318 0.658412
0.454339 0.660236
0.45436 0.662099
0.45438 0.664
0.454401 0.665935
0.454422 0.667901
0.454442 0.669897
0.454463 0.671918
0.454483 0.673963
0.454504 0.676028
0.454525 0.678111
0.454545 0.680209
0.454566 0.682319
0.454587 0.684438
0.454607 0.686564
0.454628 0.688694
0.454649 0.690826
0.454669 0.692955
0.45469 0.69508
0.454711 0.697198
0.454731 0.699305
0.454752 0.7014
0.454773 0.703479
0.454794 0.70554
0.454814 0.70758
0.454835 0.709596
0.454856 0.711584
0.454876 0.713544
0.454897 0.71547
0.454918 0.717362
0.454938 0.719216
0.454959 0.721029
0.45498 0.722798
0.455 0.724521
0.455021 0.726234
0.455042 0.727973
0.455063 0.729734
0.455083 0.731514
0.455104 0.733313
0.455125 0.735127
0.455145 0.736954
