# QV 2022-09-29 from Airbus DS technical support Excel file
# SpectralValues_Normalized-PHR1A_PHR1B_SPOT6_SPOT7_PNEO3-4.xlsx
#
#  Pléiades Neo PNEO4 Band 1 BlueCoastal
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.442	0.162542946
0.443	0.23523955
0.444	0.323794135
0.445	0.41715189
0.446	0.501329206
0.447	0.568280634
0.448	0.615982739
0.449	0.643508713
0.45	0.653496871
0.451	0.651945957
0.452	0.647499242
0.453	0.647653091
0.454	0.655729602
0.455	0.671494095
0.456	0.693360196
0.457	0.71756917
0.458	0.738349286
0.459	0.751892456
0.46	0.759323369
0.461	0.762221635
0.462	0.763610716
0.463	0.765308215
0.464	0.770130662
0.465	0.779625157
0.466	0.79275791
0.467	0.8053884
0.468	0.814037608
0.469	0.818217746
0.47	0.820501379
0.471	0.824382827
0.472	0.831548158
0.473	0.840615085
0.474	0.847930525
0.475	0.851701424
0.476	0.853343119
0.477	0.857723615
0.478	0.865928881
0.479	0.87663318
0.48	0.885573867
0.481	0.890736593
0.482	0.894540981
0.483	0.900585604
0.484	0.909801915
0.485	0.920274674
0.486	0.92837739
0.487	0.93270719
0.488	0.933429168
0.489	0.93352552
0.49	0.936493849
0.491	0.943504874
0.492	0.953388856
0.493	0.960842366
0.494	0.963005576
0.495	0.960071809
0.496	0.957783171
0.497	0.961454918
0.498	0.970726823
0.499	0.979764899
0.5	0.983452672
0.501	0.982540248
0.502	0.983692132
0.503	0.990606921
0.504	0.998799265
0.505	1
0.506	0.991293332
0.507	0.979147654
0.508	0.970601713
0.509	0.967422539
0.51	0.963640679
0.511	0.952444876
0.512	0.93790195
0.513	0.931795297
0.514	0.939426842
0.515	0.950791902
0.516	0.945892019
0.517	0.903570051
0.518	0.816181953
0.519	0.691677591
0.52	0.547568107
0.521	0.406619729
0.522	0.288532085
0.523	0.203051852
0.524	0.148608563
0.525	0.115131211
0.526	0.092067022
0.527	0.072709001
0.528	0.054852287
0.529	0.039253513
0.53	0.027303881
0.531	0.01987383
0.532	0.015838333
0.533	0.013604885
0.534	0.012012119
0.535	0.010672877
0.536	0.009072798
0.537	0.007260402
0.538	0.005522034
0.539	0.004093762
0.54	0.003071175
0.541	0.002404194
0.542	0.001988365
0.543	0.001715616
0.544	0.001509775
0.545	0.001330935
0.546	0.001171733
0.547	0.001038997
0.548	0.000940742
0.549	0.000883515
0.55	0.00086072
0.551	0.000860209
0.552	0.000862784
0.553	0.000839624
0.554	0.000788914
0.555	0.000720149
0.556	0.000650493
0.557	0.000600109
0.558	0.00057901
0.559	0.000584363
0.56	0.000613182
0.561	0.000653097
0.562	0.000676689
0.563	0.000666737
0.564	0.000628324
0.565	0.000578433
0.566	0.000531947
0.567	0.000500036
0.568	0.000481823
0.569	0.000468351
0.57	0.00045426
0.571	0.000434751
0.572	0.000414242
0.573	0.000395347
0.574	0.000379584
0.575	0.000374839
0.576	0.000378764
0.577	0.000390044
0.578	0.000405123
0.579	0.000413511
0.58	0.000407141
0.581	0.000388999
0.582	0.000366639
0.583	0.000346784
0.584	0.000332714
0.585	0.000326429
0.586	0.000325631
0.587	0.000329605
0.588	0.000341115
0.589	0.000358482
0.59	0.000378865
0.591	0.000395329
0.592	0.000405208
0.593	0.000410854
0.594	0.000417424
0.595	0.000435826
0.596	0.000469089
0.597	0.000504735
0.598	0.000520326
0.599	0.000504398
0.6	0.000466284
0.601	0.000421997
0.602	0.000384233
0.603	0.000365842
0.604	0.000372744
0.605	0.00042733
0.606	0.000562068
0.607	0.000731684
0.608	0.000819978
0.609	0.000784443
0.61	0.000670003
0.611	0.000543885
0.612	0.000442116
0.613	0.00039301
0.614	0.0003887
0.615	0.000399369
0.616	0.000402338
0.617	0.000388546
0.618	0.000362249
0.619	0.000332031
0.62	0.000307044
0.621	0.000295813
0.622	0.000327013
0.623	0.000519536
0.624	0.000936756
0.625	0.001275283
0.626	0.001245835
0.627	0.001000168
0.628	0.000740498
0.629	0.00048643
0.63	0.000324628
0.631	0.0002608
0.632	0.000245595
0.633	0.00024313
0.634	0.000241753
0.635	0.000240382
0.636	0.000239169
0.637	0.000239049
0.638	0.00024509
0.639	0.000316281
0.64	0.000668757
0.641	0.00139541
0.642	0.001975959
0.643	0.001944822
0.644	0.001555282
0.645	0.00114381
0.646	0.000710817
0.647	0.000402119
0.648	0.000269974
0.649	0.00023605
0.65	0.000235642
0.651	0.000256216
0.652	0.000347166
0.653	0.000587654
0.654	0.000924583
0.655	0.00115694
0.656	0.001190858
0.657	0.001094182
0.658	0.00094259
0.659	0.000784169
0.66	0.000659214
0.661	0.000561418
0.662	0.000472247
0.663	0.00038426
0.664	0.000304798
0.665	0.000249967
0.666	0.000219597
0.667	0.000206301
0.668	0.000199867
0.669	0.000196213
0.67	0.000195417
0.671	0.000197245
0.672	0.000206506
0.673	0.000249459
0.674	0.00037535
0.675	0.000559004
0.676	0.000671912
0.677	0.000647191
0.678	0.000553378
0.679	0.000443811
0.68	0.000335076
0.681	0.000251383
0.682	0.000206537
0.683	0.000188866
0.684	0.000184891
0.685	0.000185919
0.686	0.000190015
0.687	0.000199025
0.688	0.000211048
0.689	0.000223985
0.69	0.000232576
0.691	0.000233933
0.692	0.000229693
0.693	0.000221575
0.694	0.000213985
0.695	0.000211461
0.696	0.000216736
0.697	0.00024152
0.698	0.000285916
0.699	0.000332152
0.7	0.000353079
0.701	0.000340694
0.702	0.000310202
0.703	0.000271605
0.704	0.000230429
0.705	0.000193438
0.706	0.000171457
0.707	0.000160837
0.708	0.000155381
0.709	0.000151005
0.71	0.00014949
0.711	0.000151477
0.712	0.000164349
0.713	0.000193972
0.714	0.00024574
0.715	0.000303014
0.716	0.000334537
0.717	0.00032991
0.718	0.000301705
0.719	0.000264359
0.72	0.00022186
0.721	0.000184038
0.722	0.000161443
0.723	0.000148203
0.724	0.000140894
0.725	0.000140799
0.726	0.000147657
0.727	0.000163388
0.728	0.000195094
