#
#  GF1/WFV4 RSR
#
#  from Rugang Tang Excel files
#
#  Tabulated QV 2019-03-05
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
969	0.00001154
970	9.15E-06
971	0.000011654
972	9.28E-06
973	0.000011846
974	9.04E-06
975	9.74E-06
976	9.47E-06
977	0.00001031
978	0.000010814
979	0.000011905
980	0.000011125
981	0.000010485
982	0.000011317
983	0.000012593
984	0.00001182
985	0.000012571
986	0.000013093
987	0.000013643
988	0.000015002
989	0.000013625
990	0.000013715
991	0.000013539
992	0.000014812
993	0.000013491
994	0.000013373
995	0.000012624
996	0.000013265
997	0.000013527
998	0.000012537
999	0.000012538
1000	0.000012784
1001	0.000013629
1002	0.000013944
1003	0.000014934
1004	0.000014208
1005	0.000015917
1006	0.000015902
1007	0.000017699
1008	0.000016907
1009	0.000018483
1010	0.000021441
1011	0.000022937
1012	0.000021825
1013	0.000021923
1014	0.00002506
1015	0.000028688
1016	0.000027533
1017	0.0000305
1018	0.000028325
1019	0.000028842
1020	0.000034747
1021	0.000038979
1022	0.000036956
1023	0.000041773
1024	0.000041411
1025	0.000040549
1026	0.000034312
1027	0.000043845
1028	0.000045945
1029	0.000040839
1030	0.000044228
1031	0.000047396
1032	0.000042684
1033	0.000038874
1034	0.00004053
1035	0.000042023
1036	0.000039008
1037	0.000037303
1038	0.00003574
1039	0.000030557
1040	0.000033537
#
# BAND 2 Green
400	0.00092643
401	0.00093785
402	0.00076728
403	0.00098544
404	0.00094984
405	0.00099296
406	0.001064
407	0.001005
408	0.00094847
409	0.001093
410	0.001046
411	0.0011306
412	0.00098907
413	0.0010791
414	0.0011038
415	0.0011412
416	0.001133
417	0.0010265
418	0.0011805
419	0.0011752
420	0.0011968
421	0.0011155
422	0.0012379
423	0.0012194
424	0.0010989
425	0.0011888
426	0.0012478
427	0.0013393
428	0.0012406
429	0.0011383
430	0.0013019
431	0.0012349
432	0.0012849
433	0.0012246
434	0.0013084
435	0.0012429
436	0.0011947
437	0.001124
438	0.0012631
439	0.0011085
440	0.0011565
441	0.0011343
442	0.0011418
443	0.0011193
444	0.0012448
445	0.0011475
446	0.0011246
447	0.0011354
448	0.0011761
449	0.0011169
450	0.0011694
451	0.0010773
452	0.0010766
453	0.00098706
454	0.0010243
455	0.0010653
456	0.0011685
457	0.0011
458	0.0011036
459	0.0010063
460	0.0010824
461	0.001044
462	0.0010365
463	0.0011225
464	0.0010327
465	0.0011196
466	0.0010805
467	0.0011411
468	0.0011563
469	0.0011981
470	0.0010859
471	0.0012637
472	0.001196
473	0.0011095
474	0.0012607
475	0.0013702
476	0.0014378
477	0.0014227
478	0.0015022
479	0.001626
480	0.0017059
481	0.0017185
482	0.0018164
483	0.0018889
484	0.0018914
485	0.0020169
486	0.0020827
487	0.002306
488	0.0025108
489	0.0028959
490	0.0031286
491	0.0037767
492	0.0043177
493	0.0050446
494	0.0062136
495	0.0073692
496	0.0094253
497	0.011207
498	0.01402
499	0.016542
500	0.02061
501	0.024076
502	0.030086
503	0.035463
504	0.044696
505	0.053395
506	0.068821
507	0.082427
508	0.10843
509	0.13167
510	0.17015
511	0.20614
512	0.26258
513	0.31015
514	0.38267
515	0.43635
516	0.51516
517	0.57437
518	0.65921
519	0.71501
520	0.77847
521	0.81978
522	0.86383
523	0.8885
524	0.90963
525	0.92351
526	0.93336
527	0.94248
528	0.94702
529	0.95184
530	0.95472
531	0.96145
532	0.96107
