% Combined data for Waterradiance	pure water absorption, salinity and temperature coefficient	related uncertainties		
% see relevant ATBD for more details!
% R. Rˆttgers, HZG
%Wavelength 	a (m-1), 20degreeC, 0 PSU	PsiS (m-1 PSU-1)	PsiT (m-1 degreeC-1)	sigma a (m-1)	sigmaPsiS  (m-1 PSU-1)	sigmaPsiT (m-1 degreeC-1)
702	0.651584	-0.000188243	0.000136	0.00224	0.000026	0.000123
704	0.694318	-0.000207438	0.000372	0.015299	0.00001	0.000083
706	0.741625	-0.000217044	0.000741	0.028696	0.000031	0.000096
708	0.789754	-0.000232411	0.00114	0.047735	0.000016	0.000155
710	0.85605	-0.000243942	0.001642	0.041083	0.000024	0.000145
712	0.91891	-0.00026315	0.002291	0.047956	0.000014	0.000102
714	0.99052	-0.000270846	0.00297	0.042455	0.000028	0.000102
716	1.076767	-0.000282381	0.003664	0.045868	0.000023	0.000048
718	1.1689	-0.000293919	0.004358	0.070569	0.000027	0.000089
720	1.28344	-0.000297782	0.005051	0.074161	0.000046	0.000076
722	1.387387	-0.00030932	0.005775	0.103313	0.000043	0.000074
724	1.50375	-0.000313181	0.006557	0.114905	0.000031	0.000102
726	1.6477	-0.000332392	0.007649	0.13534	0.00004	0.000089
728	1.7899	-0.000389981	0.009199	0.15825	0.000055	0.000057
730	2.035217	-0.000503217	0.011088	0.061056	0.000055	0.000034
732	2.14365	-0.00058767	0.012963	0.06431	0.00006	0.000034
734	2.252083	-0.000593452	0.014424	0.067562	0.000053	0.000057
736	2.3405	-0.000480264	0.015029	0.070215	0.000064	0.000048
738	2.4089	-0.000292241	0.014941	0.072267	0.000062	0.000057
740	2.4773	-0.0000601	0.014291	0.074319	0.000074	0.000112
742	2.5191	0.000141375	0.013302	0.075573	0.000056	0.000074
744	2.5609	0.000306375	0.012195	0.076827	0.000055	0.000108
746	2.58794	0.000406135	0.011014	0.077638	0.00007	0.000074
748	2.60022	0.000502055	0.009789	0.078007	0.000045	0.000057
750	2.6125	0.000548086	0.008653	0.078375	0.000041	0.000076
752	2.61926	0.000582602	0.007516	0.078578	0.000026	0.000101
754	2.62602	0.000596008	0.006439	0.078781	0.000041	0.000048
756	2.6258	0.000607491	0.005302	0.078774	0.000036	0.000074
758	2.6186	0.000603622	0.004254	0.078558	0.000033	0.000076
760	2.6114	0.000593996	0.003339	0.078342	0.000023	0.000057
762	2.599933	0.000578616	0.002335	0.077998	0.000014	0.000057
764	2.588467	0.000567075	0.001406	0.077654	0.00003	0.000122
766	2.577	0.000542106	0.000549	0.07731	0.000019	0.000123
768	2.522333	0.00051522	-0.000248	0.07567	0.00002	0.000108
770	2.47885	0.000488334	-0.001045	0.074366	0.000028	0.000076
772	2.44655	0.000453773	-0.001738	0.073397	0.000029	0.000174
774	2.41425	0.000415374	-0.002506	0.072428	0.000023	0.000074
776	2.3726	0.000375055	-0.003052	0.071178	0.000026	0.000057
778	2.3216	0.000323223	-0.003554	0.069648	0.00003	0.000128
780	2.2706	0.000282905	-0.004071	0.068118	0.00003	0.000076
782	2.21952	0.000236831	-0.004499	0.066586	0.000031	0.000122
784	2.16844	0.000181165	-0.004764	0.065053	0.000026	0.000102
786	2.125317	0.000110148	-0.005104	0.063759	0.000017	0.000083
